size,top_tube_horizontal,seat_tube_length,seat_tube_angle,head_tube_angle,chainstay,fork_rake,wheelbase,trail,bb_drop,front_center_distance,head_tube_length,stack,reach,standover_height,fork_axle_to_crown
51R,537,490,74,70,432,50,1027,73.6,77,607,104,540,380,756,398
51T,535,495,74,70,432,50,1028,73.6,77,608,136,570,370,771,398
54R,550,510,74,70.5,432,50,1036,70.4,77,616,121,558,388,775,398
54T,549,515,74,70.5,432,50,1038,70.4,77,618,155,590,378,791,398
56R,568,520,73.5,71.25,432,50,1044,65.5,75,623,139,576,396,789,398
56T,568,535,73.5,71.25,432,50,1046,65.5,75,625,175,610,386,812,398
58R,581,540,73.5,71.75,432,50,1053,62.3,75,632,156,594,404,808,398
58T,581,555,73.5,71.75,432,50,1055,62.3,75,634,194,630,394,832,398
61R,594,560,73.5,71.75,432,50,1067,62.3,75,646,175,612,412,827,398
61T,595,575,73.5,71.75,432,50,1070,62.3,75,649,215,650,402,851,398
